Atoll,Image date/time (UTC),Maxar Image ID,Target lat,Off-nadir angle,Sun elevation,Sun azimuth,Target azimuth,Camera elevation,Camera azimuth,Sun RA,Sun d,Camera RA,Camera d,phase angle,Best classification phase angle
Fangatau,3/21/2015 19:54,1030010040A4F200,-15.8262,22.0175,61.2849,57.9238,169.3044,67.9825,349.3044,335.9760961,0.360462901,4.010426449,5.830296051,28.51142785,all
Fangatau,7/24/2018 19:49,1030010081D41900,-15.8262,18.0858,46.6922,35.5852,202.1221,71.9142,22.1221,334.9037065,19.76877034,353.2853835,0.999286428,25.99765216,all
Fangataufu,8/7/2018 19:38,1030010084B62200,-22.2356,25.1808,44.2543,35.5039,4.4175,64.8192,184.4175,334.358917,16.00049615,2.770778742,-47.3174265,68.25072788,5
Fangataufu,8/15/2018 19:44,1030010083CEA500,-22.2356,26.5132,47.3031,35.1571,29.4307,63.4868,209.4307,336.3134848,13.59567399,17.84976054,-44.30693031,69.11749008,5
Fanna,2/21/2018 1:46,10300100790CE700,5.353,11.9552,60.7905,123.0305,282.0491,78.0448,102.0491,335.4054765,-10.56874994,348.298142,2.763577812,18.50514044,none
Faraulep,3/22/2018 0:39,10300100795A8500,8.679,27.4299,68.3773,110.7769,176.4983,62.5701,356.4983,339.8456456,0.633770527,1.994297674,36.04862621,40.94668391,5
Faraulep,2/27/2020 0:27,10300100A1AA1A00,8.679,20.4465,60.4034,124.9495,17.9386,69.5535,197.9386,335.835478,-8.538705149,6.28816012,-10.78669274,30.09239115,5
Faraulep,4/21/2018 0:36,103001007C2B6500,8.679,9.8284,71.6686,78.5831,163.369,80.1716,343.369,341.6413331,11.81689589,2.945892581,18.08142379,21.49609629,20
Fayu,1/15/2014 0:49,103001002C78C300,8.679,11.1672,54.9362,148.9373,165.9251,78.8328,345.9251,341.4509634,-21.28215659,2.863926698,19.49646752,45.84456377,none
Fenuarura,9/29/2011 20:58,103001000DC48C00,8.548,3.1382,67.8077,52.9768,103.1668,86.8618,283.1668,341.120491,21.25615011,3.095919362,9.25023264,24.31521942,all
Flint,9/14/2019 20:47,103001009ACE8200,-11.43,26.1917,66.3742,52.9928,95.9076,63.8083,275.9076,341.305916,3.145979691,26.2944815,-7.660066203,46.16650222,none
Funafuti,7/6/2020 22:25,10300100A9841400,-8.5155,5.1369,50.0346,38.6345,138.1489,84.8631,318.1489,334.2728422,22.50265952,3.436225462,-4.676168382,39.38854163,all
Funafuti,6/6/2020 22:30,10300100A8C9F000,-8.5155,13.4615,51.5831,35.1915,116.6635,76.5385,296.6635,337.1557918,22.71774577,12.01739897,-2.332301089,42.22310536,all
Gaferut,6/13/2019 1:05,10300100956D3D00,9.23,12.614,67.5609,49.1241,109.2926,77.386,289.2926,341.6913849,23.2543354,12.22087724,13.16429109,30.62600728,20
Haorangi,3/2/2020 19:50,10300100A25A5200,-18.209167,24.0352,61.9112,69.9518,45.6367,65.9648,225.6367,333.5346016,-7.028102535,20.50587638,-33.77385076,50.87858804,all
Haorangi,7/19/2016 19:30,103001005A6EA200,-18.209167,17.9943,41.4958,38.6119,279.3384,72.0057,99.3384,330.0823824,20.42086352,341.0498601,-20.17077069,41.9867723,all
Haorangi,3/8/2020 19:28,10300100A2472B00,-18.209167,23.6254,56.5853,70.0903,266.6952,66.3746,86.6952,328.6972842,-4.743387685,335.4903691,-15.32834471,12.51578975,all
Haorangi,3/8/2020 19:28,10300100A43A5A00,-18.209167,25.2458,56.6496,69.8807,247.9359,64.7542,67.9359,328.806549,-4.668711893,336.5046954,-7.495617567,8.159306047,5
Haraiki,7/28/2014 20:09,103001003367C400,-17.4651,22.0171,47.7228,32.6456,24.3643,67.9829,204.3643,337.4929493,18.55828834,11.18901598,-37.15625745,64.12696671,none
Heina,4/23/2011 1:14,103001000A9D0B00,-1.132222,18.8959,68.6417,49.6684,137.847,71.1041,317.847,343.4753797,12.54842787,12.87752945,12.78810314,28.67184109,all
Helen,7/3/2014 2:02,1030010033363A00,2.97375,18.5496,63.0309,40.2312,163.0204,71.4504,343.0204,341.4342604,23.07900886,5.698638371,20.67285221,22.61932632,all
Hereheretue,6/21/2016 20:04,1030010057203F00,-19.8698,25.3995,40.7845,29.9988,55.4571,64.6005,235.4571,335.668142,23.24618235,24.73544012,-32.39567352,72.73212164,all
Hikueru,4/17/2018 19:53,103001007B74BC00,-17.5884,10.2263,53.0444,42.1201,252.4762,79.7737,72.4762,335.7833451,10.58039065,349.9397288,-14.26570785,28.53705224,5
Hikueru,3/19/2016 19:30,103001005376F800,-17.5884,25.4772,54.1554,64.4453,262.5889,64.5228,82.5889,328.1088295,-0.237721553,334.0706993,-12.70325659,13.7962946,all
Hiti,7/26/2019 19:51,10300100954AE500,-16.7277,22.4325,44.9036,38.5989,318.6232,67.5675,138.6232,332.1227974,19.08388206,342.5574412,-32.70185218,52.73859803,none
Houk_Pulusuk,10/22/2019 0:42,103001009E6BBC00,6.6915,27.2831,66.1316,137.0122,19.4743,62.7169,199.4743,343.6875076,-10.80210646,9.30151609,-19.00551843,26.03864429,none
Howland_Island,12/13/2016 22:20,103001006269A100,0.807,16.3252,59.2155,141.6925,21.7637,73.6748,201.7637,339.8510557,-22.92187178,6.175196198,-14.33025668,26.33207271,none
Huon,10/5/2018 23:27,10300100864A9900,-18.1031,14.128,64.6532,61.5421,268.1435,75.872,88.1435,337.8026422,-4.986419162,345.2130375,-17.08637707,14.10987178,all
Ifalik,4/25/2019 1:08,103001008E370000,7.2508,14.2338,71.4444,70.1784,124.8988,75.7662,304.8988,342.0990004,13.10265436,12.0610676,15.18210505,29.10614956,none
Iles Maria,9/28/2016 20:51,103001005E78FC00,-21.8095,28.6979,62.999,47.2003,88.2706,61.3021,268.2706,340.5215827,-2.55827858,30.68040673,-19.83666512,51.88854213,all
Jabat,3/24/2016 22:59,103001005545DA00,7.7517,25.7984,61.8432,100.4799,283.5662,64.2016,103.5662,332.3363065,1.941049164,334.9663432,1.162273587,2.741971002,20
Jaluit,11/6/2015 23:24,103001004CB6B700,6.0064,23.283,63.4662,145.9192,109.0824,66.717,289.0824,344.9111714,-15.92331368,22.54132572,12.98137608,47.11819216,all
Jaluit,4/3/2018 23:22,103001007C287100,6.0064,17.9077,69.4242,89.5483,1.2033,72.0923,181.2033,339.3148994,5.780623144,0.378093597,-11.89735138,27.41054815,10
Jaluit,11/16/2014 23:26,10300100399EE200,6.0064,16.114,61.0878,149.6711,14.0269,73.886,194.0269,345.0486174,-18.86947698,3.912502721,-9.628942288,20.46026955,20
Jaluit,7/1/2019 23:25,10300100943D7C00,6.0064,22.1802,64.183,46.483,160.8757,67.8198,340.8757,339.9187794,23.10516978,7.968317529,26.84790441,25.6472583,10
Jaluit,4/11/2018 23:28,103001007D7B8D00,6.0064,25.3727,71.3908,81.4881,28.6977,64.6273,208.6977,341.396229,8.403451993,12.37377521,-16.21604819,39.32096664,5
Jaluit,7/2/2020 23:09,10300100A94CD200,6.0064,10.8036,61.2993,51.6102,357.0674,79.1964,177.0674,335.8909717,22.85347229,359.4486158,-4.783163581,35.96506074,none
Jarvis Island,3/24/2020 21:15,10300100A43A1100,-0.373889,27.663,67.1529,84.1484,35.752,62.337,215.752,337.2650984,1.923832599,17.07333451,-22.49183371,45.85188359,all
Jemo,4/22/2018 23:22,103001007C20F200,10.116667,8.7216,70.7432,80.8983,246.0687,81.2784,66.0687,340.5117608,12.54373456,351.8038803,13.54296187,11.04499834,none
Johnston Atoll,3/20/2020 21:58,10300100A57CB900,16.732222,27.1696,63.033,125.0546,13.5169,62.8304,193.5169,338.2086101,0.410533587,6.216558311,-9.732483768,29.66404736,10
Kapingamarangi,7/31/2016 0:19,103001005A4D0800,1.065,20.2601,62.4387,50.2835,83.5485,69.7399,263.5485,337.9988652,18.18492793,20.13106698,-1.229981425,45.75741632,5
Katiu,10/8/2011 20:28,103001000D314800,-16.4236,21.7303,72.5275,55.0308,106.236,68.2697,286.236,345.6763346,-6.005843181,21.1193612,-9.401492503,35.27105659,all
Katiu,3/1/2019 20:02,103001008E349900,-16.4236,22.1964,62.2853,74.2848,1.4693,67.8036,181.4693,333.1609993,-7.439109677,0.710303205,-38.61126327,39.84670793,5
Kauehi,7/7/2018 20:15,10300100817C4400,-15.8772,11.1664,46.0465,30.9859,104.1761,78.8336,284.1761,337.3239384,22.04762027,11.1046706,-12.87231291,48.1330656,none
Kauehi,7/7/2018 20:15,103001007FBA0500,-15.8772,14.0359,46.1094,30.7076,66.4722,75.9641,246.4722,337.5364283,22.09710656,13.78055193,-21.01003725,55.75629753,none
Kauehi,6/10/2018 20:07,103001007EB69700,-15.8772,4.8821,45.492,30.8151,297.9871,85.1179,117.9871,337.1127933,22.58007634,355.4646553,-18.11938963,44.47888537,none
