atoll,species,population
Kure,Anous_minutus,100.0
Kuria,Anous_minutus,1200.0
Kwajalein,Anous_minutus,2678.0
Lae,Anous_minutus,1333.0
Lamotrek,Anous_minutus,1310.0
Laualau,Anous_minutus,0.0
Laysan,Anous_minutus,4000.0
Lib,Anous_minutus,1318.0
Likiep,Anous_minutus,0.0
Liot,Anous_minutus,0.0
Lisianski,Anous_minutus,1500.0
Long_Reef,Anous_minutus,0.0
Losap,Anous_minutus,1002.0
Lukunor,Anous_minutus,605.0
Maalhosmadulu,Anous_minutus,0.0
Maiana,Anous_minutus,4244.0
Majuro,Anous_minutus,2501.0
Makemo,Anous_minutus,0.0
Makunudhoo,Anous_minutus,0.0
Malden,Anous_minutus,200.0
Maloelap,Anous_minutus,2527.0
Malum,Anous_minutus,0.0
Manihi,Anous_minutus,822.0
Manihiki,Anous_minutus,412.0
Manra,Anous_minutus,1000.0
Manuae,Anous_minutus,746.0
Manuhangi,Anous_minutus,0.0
Marakei,Anous_minutus,2914.0
Maria,Anous_minutus,31.0
Maria_Est,Anous_minutus,117.0
Marokau,Anous_minutus,0.0
Marutea_Nord,Anous_minutus,467.0
Marutea_Sud,Anous_minutus,410.0
Mataiva,Anous_minutus,825.0
Matureivavao,Anous_minutus,132.0
Maupihaa,Anous_minutus,6.0
McKean,Anous_minutus,12.0
Midway,Anous_minutus,8000.0
Miladhunmadulu,Anous_minutus,0.0
Mili,Anous_minutus,2892.0
Minicoy,Anous_minutus,0.0
Mokil,Anous_minutus,922.0
Morane,Anous_minutus,26.0
Moruroa,Anous_minutus,309.0
Motu_One,Anous_minutus,0.0
Motutunga,Anous_minutus,0.0
Mulaku,Anous_minutus,0.0
Murilo,Anous_minutus,2312.0
Namoluk,Anous_minutus,953.0
Namonuito,Anous_minutus,5512.0
Namorik,Anous_minutus,2066.0
Namu,Anous_minutus,3680.0
Nanumanga,Anous_minutus,0.0
Nanumea,Anous_minutus,0.0
Napuka,Anous_minutus,0.0
Nengonengo,Anous_minutus,358.0
Ngcheangel,Anous_minutus,0.0
Ngulu,Anous_minutus,6662.0
Niau,Anous_minutus,633.0
Nihiru,Anous_minutus,476.0
Nikumaroro,Anous_minutus,1000.0
Nikunau,Anous_minutus,1203.0
Ninigo,Anous_minutus,6163.0
Niutao,Anous_minutus,945.0
Nomwin,Anous_minutus,0.0
Nonouti,Anous_minutus,3258.0
North_Male,Anous_minutus,0.0
North_Nilandhe,Anous_minutus,0.0
Nuguria,Anous_minutus,5462.0
Nui,Anous_minutus,0.0
Nukapu,Anous_minutus,927.0
Nukufetau,Anous_minutus,0.0
Nukulaelae,Anous_minutus,1366.0
Nukumanu,Anous_minutus,5719.0
Nukumbasanga,Anous_minutus,0.0
Nukunonu,Anous_minutus,10000.0
Nukuoro,Anous_minutus,1370.0
Nukutepipi,Anous_minutus,165.0
Numa_Miombilou,Anous_minutus,500.0
Nupani,Anous_minutus,500.0
Oeno,Anous_minutus,200.0
Olimarao,Anous_minutus,1208.0
Onotoa,Anous_minutus,2145.0
Ontong_Java,Anous_minutus,9562.0
Oroluk,Anous_minutus,1472.0
Orona,Anous_minutus,4000.0
Pakin,Anous_minutus,676.0
Palmerston,Anous_minutus,0.0
Palmyra,Anous_minutus,6498.0
Paraoa,Anous_minutus,194.0
Pearl_and_Hermes,Anous_minutus,200.0
Peremul_Par,Anous_minutus,0.0
Peros_Banhos,Anous_minutus,0.0
Pinaki,Anous_minutus,160.0
Pingelap,Anous_minutus,952.0
Pinipel,Anous_minutus,0.0
Pukapuka,Anous_minutus,384.0
Puka-Puka,Anous_minutus,0.0
