species,atoll,source,Order,Family
"Emoia cyanura (Lesson, 1830)",Utirik,"Buden, D.W., et al. (2020) Reptiles of the Northern Marshall Islands",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Vaitupu,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Squamata,Scincidae
"Emoia cyanura (Lesson, 1830)",Wake,"Bryan, E.H. (1959) Notes on the greography and natural history of Wake Island",Squamata,Scincidae
"Emoia impar (Werner, 1898)",Ailinginae,"Buden, D.W., et al. (2020) Reptiles of the Northern Marshall Islands",Squamata,Scincidae
"Emoia impar (Werner, 1898)",Ant,"Buden, D.W. (1996) Reptiles, birds, and mammals of Ant Atoll, Eastern Caroline Islands",Squamata,Scincidae
"Emoia impar (Werner, 1898)",Arno,"Kaiser, H., et al. (2020) Herpetological update from Arno Atoll, Republic of the Marshall Islands",Squamata,Scincidae
"Emoia impar (Werner, 1898)",Bikar,"Buden, D.W., et al. (2020) Reptiles of the Northern Marshall Islands",Squamata,Scincidae
"Emoia impar (Werner, 1898)",Bikini,"Buden, D.W., et al. (2020) Reptiles of the Northern Marshall Islands",Squamata,Scincidae
"Emoia impar (Werner, 1898)",Caroline,"Kepler, C.B., Kepler, A.K., & Ellis, D.H. (1994) The natural history of Caroline Atoll - Part II: seabirds, other terrestrial animals, and conservation",Squamata,Scincidae
"Emoia impar (Werner, 1898)",Etal,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Scincidae
"Emoia impar (Werner, 1898)",Funafuti,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Squamata,Scincidae
"Emoia impar (Werner, 1898)",Kapingamarangi,"Buden, D.W. (1998) The reptiles of Kapingamarangi Atoll, Micronesia",Squamata,Scincidae
"Emoia impar (Werner, 1898)",Losap,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Scincidae
"Emoia impar (Werner, 1898)",Mokil,"Buden, D.W. (1995) Reptiles, birds, and mammals of Mokil and Pingelap atolls, Eastern Caroline Islands",Squamata,Scincidae
"Emoia impar (Werner, 1898)",Namoluk,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Scincidae
"Emoia impar (Werner, 1898)",Niau,"Ineich, I., et al. (2007) Lizards of Niau Atoll, Tuamotu Archipelago, French Polynesia",Squamata,Scincidae
"Emoia impar (Werner, 1898)",Niutao,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Squamata,Scincidae
"Emoia impar (Werner, 1898)",Nukulaelae,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Squamata,Scincidae
"Emoia impar (Werner, 1898)",Oroluk,"Buden, D.W. (1999) Reptiles, birds, and mammals of Oroluk atoll, Eastern Caroline Islands",Squamata,Scincidae
"Emoia impar (Werner, 1898)",Pakin,"Buden, D.W. (1996) Reptiles, birds, and mammals of Pakin atoll, Eastern Caroline Islands",Squamata,Scincidae
"Emoia impar (Werner, 1898)",Pingelap,"Buden, D.W. (1995) Reptiles, birds, and mammals of Mokil and Pingelap atolls, Eastern Caroline Islands",Squamata,Scincidae
"Emoia impar (Werner, 1898)",Rongelap,"Buden, D.W., et al. (2020) Reptiles of the Northern Marshall Islands",Squamata,Scincidae
"Emoia impar (Werner, 1898)",Sapwuahfik,"Buden, D.W. (2000) The reptiles of Sapwuahfik Atoll, Federated States of Micronesia",Squamata,Scincidae
"Emoia impar (Werner, 1898)",Satawan,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Scincidae
"Emoia impar (Werner, 1898)",Sorol,"Buden, D.W. (2013) Reptiles of Sorol Atoll, Yap, Federated States of Micronesia",Squamata,Scincidae
"Emoia impar (Werner, 1898)",Taka,"Buden, D.W., et al. (2020) Reptiles of the Northern Marshall Islands",Squamata,Scincidae
"Emoia impar (Werner, 1898)",Tetiaroa,"Ineich, I., & Blanc, C.P. (1988) Distribution des reptiles terrestres en Polynesie Orientale",Squamata,Scincidae
"Emoia impar (Werner, 1898)",Utirik,"Buden, D.W., et al. (2020) Reptiles of the Northern Marshall Islands",Squamata,Scincidae
"Emoia impar (Werner, 1898)",Vaitupu,"Naikatini, A., et al. (2021) Biodiversity rapid assessment program (BioRAP) of Funafuti Atoll, Nukulaelae Atoll, Niutao Island and Vaitupu Island, Tuvalu",Squamata,Scincidae
"Emoia jakati (Kopstein, 1926)",Ant,"Buden, D.W. (1996) Reptiles, birds, and mammals of Ant Atoll, Eastern Caroline Islands",Squamata,Scincidae
"Emoia jakati (Kopstein, 1926)",Etal,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Scincidae
"Emoia jakati (Kopstein, 1926)",Helen,"Crombie, R.I., & Pregill, G.K. (1999) A checklist of the herpetofauna of the Palau Islands (Republic of Belau), Oceania",Squamata,Scincidae
"Emoia jakati (Kopstein, 1926)",Losap,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Scincidae
"Emoia jakati (Kopstein, 1926)",Lukunor,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Scincidae
"Emoia jakati (Kopstein, 1926)",Mokil,"Buden, D.W. (1995) Reptiles, birds, and mammals of Mokil and Pingelap atolls, Eastern Caroline Islands",Squamata,Scincidae
"Emoia jakati (Kopstein, 1926)",Murilo,"Buden, D.W. (2011) Reptiles of the Hall Islands, Chuuk State, Federated States of Micronesia",Squamata,Scincidae
"Emoia jakati (Kopstein, 1926)",Namoluk,"Buden, D.W. (2007) Reptiles of Satawan Atoll and the Mortlock Islands, Chuuk State, Federated States of Micronesia",Squamata,Scincidae
"Emoia jakati (Kopstein, 1926)",Ngcheangel,"Crombie, R.I., & Pregill, G.K. (1999) A checklist of the herpetofauna of the Palau Islands (Republic of Belau), Oceania",Squamata,Scincidae
"Emoia jakati (Kopstein, 1926)",Nomwin,"Buden, D.W. (2011) Reptiles of the Hall Islands, Chuuk State, Federated States of Micronesia",Squamata,Scincidae
"Emoia jakati (Kopstein, 1926)",Pakin,"Buden, D.W. (1996) Reptiles, birds, and mammals of Pakin atoll, Eastern Caroline Islands",Squamata,Scincidae
"Emoia jakati (Kopstein, 1926)",Pingelap,"Buden, D.W. (1995) Reptiles, birds, and mammals of Mokil and Pingelap atolls, Eastern Caroline Islands",Squamata,Scincidae
