atoll,country,country_status,human_population,number_inhabited_islands
Kapingamarangi,Federated_States_Micronesia,nation_with_atolls,350.0,2
Katiu,French_Polynesia,nation_with_atolls,257.0,1
Kauehi,French_Polynesia,nation_with_atolls,524.0,1
Kaukura,French_Polynesia,nation_with_atolls,466.0,8
Kavaratti,India,nation_with_atolls,11210.0,1
Kilinailau,Papua_New_Guinea,nation_with_atolls,979.0,4
Kiltan,India,nation_with_atolls,3946.0,1
Kiritimati,Kiribati,atoll_nation,5586.0,1
Kolhumadulu,Maldives,atoll_nation,10260.0,13
Kuop,Federated_States_Micronesia,nation_with_atolls,0.0,0
Kure,US,nation_with_atolls,0.0,0
Kuria,Kiribati,atoll_nation,980.0,2
Kurimarau,Solomon_Islands,nation_with_atolls,0.0,0
Kwajalein,Marshall_Islands,atoll_nation,9789.0,6
Lae,Marshall_Islands,atoll_nation,133.0,1
Lamotrek,Federated_States_Micronesia,nation_with_atolls,3229.0,1
Laualau,Papua_New_Guinea,nation_with_atolls,0.0,0
Laysan,US,nation_with_atolls,0.0,0
Leli,Solomon_Islands,nation_with_atolls,0.0,0
Lib,Marshall_Islands,atoll_nation,156.0,1
Lihou,Australia,nation_with_atolls,0.0,0
Likiep,Marshall_Islands,atoll_nation,228.0,1
Liot,Papua_New_Guinea,nation_with_atolls,,1
Lisianski,US,nation_with_atolls,0.0,0
Long_Reef,Papua_New_Guinea,nation_with_atolls,0.0,0
Loraine_Anobat,Papua_New_Guinea,nation_with_atolls,0.0,0
Losap,Federated_States_Micronesia,nation_with_atolls,506.0,2
Losiep,Federated_States_Micronesia,nation_with_atolls,0.0,0
Lukunor,Federated_States_Micronesia,nation_with_atolls,1248.0,2
Mabui,Papua_New_Guinea,nation_with_atolls,0.0,0
Maiana,Kiribati,atoll_nation,2027.0,2
Majuro,Marshall_Islands,atoll_nation,23156.0,8
Makemo,French_Polynesia,nation_with_atolls,816.0,2
Makin,Kiribati,atoll_nation,1798.0,2
Makunudhoo,Maldives,atoll_nation,1265.0,1
Malden,Kiribati,atoll_nation,0.0,0
Maloelap,Marshall_Islands,atoll_nation,395.0,5
Malum,Papua_New_Guinea,nation_with_atolls,0.0,0
Manihi,French_Polynesia,nation_with_atolls,648.0,16
Manihiki,Cook_Islands,nation_with_atolls,238.0,2
Manra,Kiribati,atoll_nation,0.0,0
Manuae,Cook_Islands,nation_with_atolls,0.0,0
Manuhangi,French_Polynesia,nation_with_atolls,0.0,0
Marakei,Kiribati,atoll_nation,2872.0,2
Maria,French_Polynesia,nation_with_atolls,0.0,0
Maria_Est,French_Polynesia,nation_with_atolls,0.0,0
Marokau,French_Polynesia,nation_with_atolls,74.0,1
Marutea_Nord,French_Polynesia,nation_with_atolls,0.0,0
Marutea_Sud,French_Polynesia,nation_with_atolls,104.0,3
Mataiva,French_Polynesia,nation_with_atolls,292.0,2
Matureivavao,French_Polynesia,nation_with_atolls,0.0,0
Maupihaa,French_Polynesia,nation_with_atolls,20.0,1
McKean,Kiribati,atoll_nation,0.0,0
Mellish,Australia,nation_with_atolls,0.0,0
Midway,US,nation_with_atolls,0.0,0
Mili,Marshall_Islands,atoll_nation,497.0,4
Minicoy,India,nation_with_atolls,10447.0,1
Mokil,Federated_States_Micronesia,nation_with_atolls,133.0,1
Morane,French_Polynesia,nation_with_atolls,0.0,0
Moruroa,French_Polynesia,nation_with_atolls,0.0,0
Motu_One,French_Polynesia,nation_with_atolls,0.0,0
Motutunga,French_Polynesia,nation_with_atolls,0.0,0
Mulaku,Maldives,atoll_nation,5490.0,8
Murilo,Federated_States_Micronesia,nation_with_atolls,570.0,2
Namoluk,Federated_States_Micronesia,nation_with_atolls,355.0,1
Namonuito,Federated_States_Micronesia,nation_with_atolls,1384.0,5
Namorik,Marshall_Islands,atoll_nation,299.0,1
Namu,Marshall_Islands,atoll_nation,525.0,4
